Date,Open,High,Low,Close,Volume
2025-06-12 00:00:00+05:30,26796.30078125,26889.349609375,26524.44921875,26579.900390625,877100
2025-06-13 00:00:00+05:30,26132.099609375,26406.150390625,26132.099609375,26335.599609375,885300
2025-06-16 00:00:00+05:30,26385.599609375,26576.900390625,26306.849609375,26554.75,822700
2025-06-17 00:00:00+05:30,26577.25,26610.349609375,26395.349609375,26451.650390625,670300
2025-06-18 00:00:00+05:30,26349.80078125,26507.75,26319.849609375,26399.94921875,669700
2025-06-19 00:00:00+05:30,26379.099609375,26459.849609375,26244.849609375,26299.650390625,890300
2025-06-20 00:00:00+05:30,26294.099609375,26680.25,26292.94921875,26648.69921875,1716500
2025-06-23 00:00:00+05:30,26448.75,26622.80078125,26389.55078125,26556.5,675200
2025-06-24 00:00:00+05:30,26783.30078125,26975.25,26678.25,26750.400390625,1109100
2025-06-25 00:00:00+05:30,26809.0,26868.94921875,26741.80078125,26851.19921875,763500
2025-06-26 00:00:00+05:30,26882.349609375,27278.900390625,26848.05078125,27248.400390625,1759900
2025-06-27 00:00:00+05:30,27245.55078125,27369.80078125,27083.55078125,27344.05078125,2265000
2025-06-30 00:00:00+05:30,27364.349609375,27369.25,27117.25,27174.44921875,1193700
2025-07-01 00:00:00+05:30,27190.900390625,27212.75,27069.05078125,27124.19921875,949400
2025-07-02 00:00:00+05:30,27157.19921875,27209.400390625,26779.19921875,26861.69921875,902500
2025-07-03 00:00:00+05:30,26902.94921875,26954.099609375,26719.349609375,26734.900390625,896700
2025-07-04 00:00:00+05:30,26773.75,26892.55078125,26681.25,26866.30078125,637200
2025-07-07 00:00:00+05:30,26837.849609375,26894.69921875,26772.05078125,26833.44921875,596400
2025-07-08 00:00:00+05:30,26802.599609375,27041.900390625,26795.5,27016.849609375,798100
2025-07-09 00:00:00+05:30,26998.05078125,27087.44921875,26931.900390625,27058.44921875,865500
2025-07-10 00:00:00+05:30,27130.099609375,27147.55078125,26951.05078125,26984.349609375,1116500
2025-07-11 00:00:00+05:30,26917.5,27004.5,26808.44921875,26853.099609375,865700
2025-07-14 00:00:00+05:30,26886.900390625,26886.900390625,26703.099609375,26802.25,776500
2025-07-15 00:00:00+05:30,26782.650390625,26967.150390625,26780.69921875,26928.94921875,746500
2025-07-16 00:00:00+05:30,26993.5,27022.900390625,26866.349609375,26916.400390625,1000800
2025-07-17 00:00:00+05:30,26959.349609375,26968.5,26790.05078125,26809.44921875,974900
2025-07-18 00:00:00+05:30,26694.0,26785.349609375,26513.80078125,26556.150390625,1453800
2025-07-21 00:00:00+05:30,26710.05078125,27002.75,26637.400390625,26986.94921875,982100
2025-07-22 00:00:00+05:30,27109.900390625,27126.849609375,26963.25,26990.44921875,859400
2025-07-23 00:00:00+05:30,27063.099609375,27227.849609375,26987.099609375,27215.849609375,966300
2025-07-24 00:00:00+05:30,27271.849609375,27271.849609375,27003.599609375,27046.30078125,827600
2025-07-25 00:00:00+05:30,26993.900390625,26993.900390625,26735.44921875,26808.0,1224700
2025-07-28 00:00:00+05:30,26684.349609375,26856.80078125,26562.099609375,26615.19921875,1086900
2025-07-29 00:00:00+05:30,26515.150390625,26740.30078125,26495.30078125,26700.69921875,1118100
2025-07-30 00:00:00+05:30,26749.900390625,26757.94921875,26613.55078125,26703.5,778300
2025-07-31 00:00:00+05:30,26495.150390625,26844.650390625,26462.69921875,26649.94921875,1370200
2025-08-01 00:00:00+05:30,26619.400390625,26732.349609375,26461.05078125,26492.5,871700
2025-08-04 00:00:00+05:30,26507.19921875,26590.099609375,26412.19921875,26476.599609375,776900
2025-08-05 00:00:00+05:30,26434.69921875,26474.69921875,26288.849609375,26373.5,849900
2025-08-06 00:00:00+05:30,26338.099609375,26433.25,26288.25,26371.150390625,802400
2025-08-07 00:00:00+05:30,26265.5,26451.05078125,26180.30078125,26403.900390625,907300
2025-08-08 00:00:00+05:30,26379.849609375,26425.69921875,26129.80078125,26167.349609375,723500
2025-08-11 00:00:00+05:30,26165.55078125,26426.400390625,26138.0,26405.80078125,769000
2025-08-12 00:00:00+05:30,26367.5,26415.05078125,26112.69921875,26135.30078125,651500
2025-08-13 00:00:00+05:30,26282.30078125,26287.05078125,26142.69921875,26238.400390625,680100
2025-08-14 00:00:00+05:30,26204.650390625,26390.94921875,26189.25,26333.44921875,751400
2025-08-18 00:00:00+05:30,26670.19921875,26840.30078125,26592.80078125,26609.099609375,956700
2025-08-19 00:00:00+05:30,26564.69921875,26663.5,26504.599609375,26592.30078125,659900
2025-08-20 00:00:00+05:30,26535.0,26567.30078125,26419.0,26487.80078125,592600
2025-08-21 00:00:00+05:30,26624.05078125,26641.80078125,26530.69921875,26573.349609375,686000
2025-08-22 00:00:00+05:30,26537.75,26565.0,26297.150390625,26317.05078125,626700
2025-08-25 00:00:00+05:30,26321.349609375,26378.94921875,26260.94921875,26306.900390625,639200
2025-08-26 00:00:00+05:30,26244.349609375,26297.849609375,25922.5,25952.599609375,1091100
2025-08-28 00:00:00+05:30,25832.69921875,25910.400390625,25619.19921875,25640.30078125,1303700
2025-08-29 00:00:00+05:30,25575.400390625,25750.5,25539.75,25567.69921875,976900
2025-09-01 00:00:00+05:30,25561.650390625,25756.94921875,25561.599609375,25743.5,708700
2025-09-02 00:00:00+05:30,25774.94921875,25830.599609375,25529.69921875,25572.94921875,761200
2025-09-03 00:00:00+05:30,25562.30078125,25763.099609375,25481.94921875,25732.55078125,815600
2025-09-04 00:00:00+05:30,25973.30078125,26024.849609375,25797.349609375,25853.400390625,1083000
2025-09-05 00:00:00+05:30,25986.55078125,25986.55078125,25727.80078125,25889.30078125,621000
2025-09-08 00:00:00+05:30,25950.80078125,26092.55078125,25858.94921875,25942.69921875,572300
2025-09-09 00:00:00+05:30,26025.05078125,26033.349609375,25905.400390625,25961.94921875,656000
2025-09-10 00:00:00+05:30,26124.650390625,26190.75,26056.80078125,26123.75,868200
2025-09-11 00:00:00+05:30,26051.400390625,26223.05078125,26047.25,26178.69921875,736300
2025-09-12 00:00:00+05:30,26228.69921875,26375.349609375,26140.150390625,26363.25,816500
2025-09-15 00:00:00+05:30,26384.25,26468.44921875,26342.599609375,26393.05078125,776300
2025-09-16 00:00:00+05:30,26329.25,26515.19921875,26328.849609375,26495.30078125,879900
2025-09-17 00:00:00+05:30,26500.849609375,26611.05078125,26495.55078125,26563.55078125,915400
2025-09-18 00:00:00+05:30,26685.900390625,26723.94921875,26588.5,26698.650390625,947200
2025-09-19 00:00:00+05:30,26646.150390625,26664.25,26463.75,26527.599609375,1284000
2025-09-22 00:00:00+05:30,26513.150390625,26658.94921875,26479.099609375,26528.400390625,676700
2025-09-23 00:00:00+05:30,26504.599609375,26641.44921875,26464.0,26559.5,1145300
2025-09-24 00:00:00+05:30,26471.19921875,26532.849609375,26308.349609375,26388.44921875,876400
2025-09-25 00:00:00+05:30,26352.30078125,26431.650390625,26222.80078125,26247.400390625,1261100
2025-09-26 00:00:00+05:30,26152.400390625,26197.150390625,25945.44921875,25985.25,919800
2025-09-29 00:00:00+05:30,26016.900390625,26111.80078125,25886.599609375,26007.0,1379100
2025-09-30 00:00:00+05:30,26100.900390625,26133.150390625,25970.94921875,26022.099609375,1229000
2025-10-01 00:00:00+05:30,26016.19921875,26414.400390625,25989.400390625,26382.19921875,1377600
2025-10-03 00:00:00+05:30,26265.69921875,26439.400390625,26259.150390625,26426.75,1095200
2025-10-06 00:00:00+05:30,26532.30078125,26724.5,26489.75,26712.05078125,1098800
2025-10-07 00:00:00+05:30,26724.30078125,26919.80078125,26670.650390625,26777.30078125,1085300
2025-10-08 00:00:00+05:30,26688.349609375,26822.44921875,26593.150390625,26656.400390625,722800
2025-10-09 00:00:00+05:30,26621.400390625,26751.349609375,26534.400390625,26724.30078125,805000
2025-10-10 00:00:00+05:30,26717.55078125,26925.80078125,26709.849609375,26842.25,793900
2025-10-13 00:00:00+05:30,26703.94921875,26918.69921875,26690.099609375,26885.25,841400
2025-10-14 00:00:00+05:30,26886.599609375,26972.849609375,26704.94921875,26828.30078125,988500
2025-10-15 00:00:00+05:30,26853.900390625,27118.5,26840.849609375,27071.80078125,1183500
2025-10-16 00:00:00+05:30,27214.150390625,27429.75,27158.30078125,27381.19921875,1298300
2025-10-17 00:00:00+05:30,27343.849609375,27597.69921875,27276.400390625,27538.599609375,1140500
2025-10-20 00:00:00+05:30,27584.25,27723.94921875,27463.05078125,27505.5,1220100
2025-10-21 00:00:00+05:30,27533.150390625,27571.25,27479.599609375,27536.849609375,195100
2025-10-23 00:00:00+05:30,27689.19921875,27774.69921875,27504.30078125,27556.650390625,1628400
2025-10-24 00:00:00+05:30,27603.25,27623.30078125,27295.099609375,27395.30078125,856900
2025-10-27 00:00:00+05:30,27447.400390625,27585.55078125,27388.94921875,27519.0,980400
2025-10-28 00:00:00+05:30,27441.650390625,27549.900390625,27299.400390625,27453.94921875,1623200
2025-10-29 00:00:00+05:30,27497.19921875,27627.849609375,27414.849609375,27587.650390625,1160300
2025-10-30 00:00:00+05:30,27483.349609375,27555.349609375,27358.0,27376.0,974400
2025-10-31 00:00:00+05:30,27329.400390625,27461.599609375,27120.94921875,27138.849609375,1179400
2025-11-03 00:00:00+05:30,27093.44921875,27370.44921875,27086.69921875,27306.150390625,88300
2025-11-04 00:00:00+05:30,27230.400390625,27320.19921875,27159.150390625,27195.80078125,1072600
2025-11-06 00:00:00+05:30,27103.150390625,27197.5,27011.55078125,27033.099609375,1295500
2025-11-07 00:00:00+05:30,26956.900390625,27309.900390625,26874.400390625,27238.75,1194500
2025-11-10 00:00:00+05:30,27247.400390625,27390.5,27222.099609375,27305.05078125,864200
2025-11-11 00:00:00+05:30,27246.650390625,27311.349609375,27003.150390625,27279.30078125,1076000
2025-11-12 00:00:00+05:30,27472.55078125,27476.69921875,27297.150390625,27337.349609375,1098200
2025-11-13 00:00:00+05:30,27284.94921875,27507.349609375,27264.349609375,27396.150390625,1034000
2025-11-14 00:00:00+05:30,27245.25,27523.349609375,27245.25,27491.849609375,1030200
2025-11-17 00:00:00+05:30,27550.55078125,27665.75,27496.599609375,27646.19921875,874100
2025-11-18 00:00:00+05:30,27643.25,27657.25,27499.30078125,27546.75,898100
2025-11-19 00:00:00+05:30,27534.05078125,27664.650390625,27437.400390625,27643.69921875,834600
